rank|song_id|song_title|artist_name|artist_id|album_id|album_title|album_img
1|608151|아틀란티스 소녀 (Atlantis Princess)|보아 (BoA)|2165|40234|Atlantis Princess|https://cdnimg.melon.co.kr/cm2/album/images/000/40/234/40234_20210323165407_500.jpg/melon/resize/48/quality/80/optimize
2|454493|비상|코요태|100022|31126|비상(非常)|https://cdnimg.melon.co.kr/cm/album/images/000/31/126/31126_500.jpg/melon/resize/48/quality/80/optimize
3|454477|그땐 미처 알지 못했지 (Feat. 하림 On Harmonica)|이적|1088|31121|2적|https://cdnimg.melon.co.kr/cm/album/images/000/31/121/31121_500.jpg/melon/resize/48/quality/80/optimize
4|420520|거부|빅마마|105803|27516|Like The Bible|https://cdnimg.melon.co.kr/cm/album/images/000/27/516/27516_500.jpg/melon/resize/48/quality/80/optimize
5|455208|악으로|김진표|1136|31187|JP4|https://cdnimg.melon.co.kr/cm/album/images/000/31/187/31187_500.jpg/melon/resize/48/quality/80/optimize
6|1137829|Try To Remember|성시경|3305|316045|Try To Remember (Special)|https://cdnimg.melon.co.kr/cm/album/images/003/16/045/316045_500.jpg/melon/resize/48/quality/80/optimize
7|455260|Loveholic|러브홀릭|106718|31191|Florist|https://cdnimg.melon.co.kr/cm/album/images/000/31/191/31191_500.jpg/melon/resize/48/quality/80/optimize
8|447863|와줘..|SE7EN|33513|29583|Just Listen.......|https://cdnimg.melon.co.kr/cm/album/images/000/29/583/29583_500.jpg/melon/resize/48/quality/80/optimize
9|2247748|The Best|유진|432|627151|My True Style...|https://cdnimg.melon.co.kr/cm/album/images/006/27/151/627151_500.jpg/melon/resize/48/quality/80/optimize
10|452849|Again To Me|차태현|2830|31029|The [Bu:k]|https://cdnimg.melon.co.kr/cm/album/images/000/31/029/31029_500.jpg/melon/resize/48/quality/80/optimize
11|445413|사랑합니다...|팀|33614|30724|영민|https://cdnimg.melon.co.kr/cm/album/images/000/30/724/30724_500.jpg/melon/resize/48/quality/80/optimize
12|440982|진달래꽃|마야|32339|29706|Born To Do It|https://cdnimg.melon.co.kr/cm/album/images/000/29/706/29706_500.jpg/melon/resize/48/quality/80/optimize
13|460396|소주 한 잔|임창정|1142|31482|Bye|https://cdnimg.melon.co.kr/cm/album/images/000/31/482/31482_500.jpg/melon/resize/48/quality/80/optimize
14|460363|난(亂)|옥주현|1714|31480|Nan|https://cdnimg.melon.co.kr/cm/album/images/000/31/480/31480_500.jpg/melon/resize/48/quality/80/optimize
15|609674|한국인 (韓國人)|MC 스나이퍼|7560|40195|2집 초행 (初行)|https://cdnimg.melon.co.kr/cm/album/images/000/40/195/40195_500.jpg/melon/resize/48/quality/80/optimize
16|430908|제비|김건모|889|30040|Hestory|https://cdnimg.melon.co.kr/cm/album/images/000/30/040/30040_500.jpg/melon/resize/48/quality/80/optimize
17|454839|길 (Feat. 불독맨션)|데프콘|7567|31157|Lesson 4 The People|https://cdnimg.melon.co.kr/cm/album/images/000/31/157/31157_500.jpg/melon/resize/48/quality/80/optimize
